location,rating,latitude,longitude,geo_zone,state,tourism_type
ogbunike cave,4.1,6.1859,6.9061,southeast,anambra,caves
agbokim waterfalls,3.8,5.9833,8.75,southeast,crossriver,waterfalls
erin ijesha waterfalls,4.2,7.5652,4.9022,southwest,osun,waterfalls
yankari national park,4.1,10.314159,9.846282,northeast,bauchi,wildlife
nigerian national museum,3.7,6.4443,3.4037,southwest,lagos,museum
kajuru castle,4.6,10.312000000000001,7.6793,northwest,kaduna,castle
idanre hill peak,4.1,7.1038,5.1095,southwest,ondo,hills
lekki conservation centre,4.2,6.4416,3.5358,southwest,lagos, wildlife
emir's palace kano city,4.1,11.992,8.519,northwest,kano, museum
zuma rock,4.3,9.1256,7.2289,northwest,fct,mountains
olumo rock,4.4,7.23,3.4387,southwest,ogun,mountains
cross river national park ,3.9,5.5805,8.7481,southeast,crossriver,waterfalls
agodi gardens ,3.9,7.4121,3.9058,southwest,oyo,gardens
old oyo national park,3.7,8.3781,3.8248,southwest,oyo,wildlife
tinapa resort,3.5,5.05,8.4174,southeast,crossriver,water park
kalakuta museum,4.2,6.6027,3.34899999,southwest,lagos,museum
chad basin national park,4.3,11.742,4.0349,northeast,borno,wildlife
atican beach,4.2,6.4249,3.5969,southwest,lagos,beach
benin  city national museum,3.7,11.742,4.0349,southsouth,benin,museum
gurara waterfalls,4.2,11.742,4.0349,northcentral,niger,waterfalls
tarkwa bay beach,4.4,6.4006,3.3956,southwest,lagos,beach
elegushi royal beach,4.0,6.4221,3.4866,southwest,lagos,beach
gashaka gumti national park,3.9,7.5424,1.6158,northeast,adamawa,wildlife
shere hills,3.6,9.95,9.05,northcentral,jos,hills
jos wildlife park,3.4,9.95,9.05,northcentral,jos,wildlife
gidan makama museum kano,3.9,11.992,8.5251,northwest,kano,museum
ngwo pine forest,3.7,6.4295,7.4437,southsouth,enugu,nature
ikogosi warm springs,4.1,7.5908,4.9801,southwest,ekiti,springs
chappal waddi,4.4,7.0333,1.7167,northeast,taraba,rocks
jhalobia recreation park and gardens ,4.0,6.5531,3.3273,southwest,lagos,gardens
